strain	virus	assension	date	region	country
Arizona.USA/11.08/2	measles	JN635406	2008-03-11	north_america	usa
London.GBR/3.14/2/B3	measles	KT732220	2014-01-XX	europe	united_kingdom
London.GBR/3.14/3/B3	measles	KT732221	2014-01-XX	europe	united_kingdom
Roraima.BRA/31.18/D8	measles	MK161348	2018-08-04	south_america	brazil
Ancona.ITA/45.17/1/D8	measles	MH173047	2017-11-XX	europe	italy
Zhejiang.CHN/12.09/1/H1	measles	KJ755980	2009-03-18	china	china
Shanghai-191	measles	FJ416067	?	china	china
New_Jersey.USA/45.05	measles	JN635408	2005-11-05	north_america	usa
Gambia/1993	measles	EF565859	1993-XX-XX	africa	gambia
London.GBR/3.14/B3	measles	KT732219	2014-01-XX	europe	united_kingdom
London.GBR/4.14/2/B3	measles	KT732223	2014-01-XX	europe	united_kingdom
T11	measles	AB481088	1989-XX-XX	japan_korea	japan
Paris.FRA/18.11/D4	measles	MF449469	2011-05-03	europe	france
Teeside.GBR/16.13/6/D8	measles	KT732253	2013-04-XX	europe	united_kingdom
Zhejiang.CHN/12.08/1/H1	measles	KJ755979	2008-03-20	china	china
London.GBR/20.11/2/D4	measles	KT732226	2011-05-XX	europe	united_kingdom
Derby.GBR/47.12/D8	measles	KT732241	2012-11-XX	europe	united_kingdom
Swansea.GBR/16.13/5/D8	measles	KT732255	2013-04-XX	europe	united_kingdom
9301V	measles	AB012949	?	?	?
Swansea.GBR/16.13/2/D8	measles	KT732251	2013-04-XX	europe	united_kingdom
