strain	virus	assention	date	region	country
G5016.1	ebola	KR105293	2014-08-16	subsaharan_africa	sierra_leone
EM_080193	ebola	KR817239	2014-06-29	subsaharan_africa	liberia
EM_074351	ebola	KR817110	2014-07-22	subsaharan_africa	liberia
LIBR10253	ebola	KT725282	2014-09-16	subsaharan_africa	liberia
G3848	ebola	KM233110	2014-06-18	subsaharan_africa	sierra_leone
EM_000027	ebola	KR817068	2014-09-01	subsaharan_africa	guinea
LIBR10047	ebola	KT725345	2014-10-01	subsaharan_africa	liberia
G4350.1	ebola	KR105242	2014-07-14	subsaharan_africa	sierra_leone
J0165	ebola	KP759703	2014-11-08	subsaharan_africa	sierra_leone
G3926.2	ebola	KR105208	2014-06-22	subsaharan_africa	sierra_leone
EM_080223	ebola	KR817241	2014-07-04	subsaharan_africa	liberia
G4345.1	ebola	KR105239	2014-07-18	subsaharan_africa	sierra_leone
LIBR10218	ebola	KT725284	2014-09-29	subsaharan_africa	liberia
G3807	ebola	KM233084	2014-06-15	subsaharan_africa	sierra_leone
LIBR10224	ebola	KT725302	2014-09-26	subsaharan_africa	liberia
13031_EMLH	ebola	KU296665	2015-05-18	subsaharan_africa	sierra_leone
G5996.1	ebola	KR105337	2014-09-25	subsaharan_africa	sierra_leone
DML24708	ebola	KT357845	2015-01-28	subsaharan_africa	sierra_leone
15686_EMLK	ebola	KU296555	2015-06-30	subsaharan_africa	sierra_leone
EM_COY_2015_016617	ebola	EM_COY_2015_016617	2015-05-16	subsaharan_africa	guinea
Makona-UK3	ebola	KR025228	2015-03-12	subsaharan_africa	sierra_leone
EM_000968	ebola	KR817085	2014-10-01	subsaharan_africa	guinea
490_EMLH	ebola	KU296746	2015-01-30	subsaharan_africa	sierra_leone
PL4696	ebola	KU296513	2015-03-13	subsaharan_africa	sierra_leone
MK2788	ebola	KU296573	2015-03-07	subsaharan_africa	sierra_leone
LIBR10110	ebola	KT725387	2014-08-20	subsaharan_africa	liberia
J0102	ebola	KP759657	2014-10-27	subsaharan_africa	sierra_leone
EM_COY_2015_017574	ebola	EM_COY_2015_017574	2015-06-10	subsaharan_africa	guinea
18636_EMLH	ebola	KU296460	2015-07-08	subsaharan_africa	sierra_leone
V768	ebola	KR534588	2014-08-27	subsaharan_africa	guinea
